GEO_KEY,GEO_ID,CENSUS_TRACT,EMPLOYMENT STATUS,IN_LABOR_FORCE,IN_LABOR_FORCE_PCT,NOT_IN_LABOR_FORCE,NOT_IN_LABOR_FORCE_PCT,UNEMPLOYMENT_RATE,TRAVEL_TIME_MEAN,OCCUPATION_TOTAL,OCCUPATION_MGT_BUS,OCCUPATION_SERVICE,OCCUPATION_SLS_OFFICE,OCCUPATION_CONSTRUCTION_MAINTENANCE,OCCUPATION_TRANS_PRODUCTION,INDUSTRY_TOTAL,INDUSTRY_AGG_FORESTRY_FISH,INDUSTRY_CONSTRUCTION,INDUSTRY_MANUF,INDUSTRY_WHOLESALE,INDUSTRY_RETAIL,INDUSTRY_TRANSPORTATION,INDUSTRY_INFORMATION,INDUSTRY_FINANCE,INDUSTRY_PROF_MGT,INDUSTRY_HEALTH_EDUC_SOCIAL_SERVICE,INDUSTRY_ARTS_ENTERTAIN_FOOD,INDUSTRY_OTHER,INDUSTRY_PUBLIC_ADMIN,CLASS_TOTAL,CLASS_PRIVATE,CLASS_GOVT,CLASS_SELF_EMPL,CLASS_UNPAID_FAMILY_WORKER,TOTAL_2017_INCOME_HOUSEHOLDS,INCOME_LESS_10000,INCOME_10K_15K,INCOME_15K_25K,INCOME_25K_35K,INCOME_35K_50K,INCOME_50K_75K,INCOME_75K_100K,INCOME_100K_150K,INCOME_150K_200K,INCOME_GREATER_200K,MEAN_INCOME_HOUSEHOLDS,MEAN_INCOME_DLLRS,INCOME_PLUS_BENEFITS_TOTAL_HH,INCOME_PLUS_BENEFITS_LESS_10K,INCOME_PLUS_BENEFITS_10K_15K,INCOME_PLUS_BENEFITS_15K_25K,INCOME_PLUS_BENEFITS_25K_35K,INCOME_PLUS_BENEFITS_35K_50K,INCOME_PLUS_BENEFITS_50K_75K,INCOME_PLUS_BENEFITS_75K_100K,INCOME_PLUS_BENEFITS_100K_150K,INCOME_PLUS_BENEFITS_150K_200K,INCOME_PLUS_BENEFITS_200K_PLUS
1400000US42003486700,42003486700,4867,1606,996,62,610,38,20.7,33.3,790,147,244,273,31,95,790,0,40,47,11,167,12,0,59,104,234,53,39,24,790,714,68,8,0,1019,331,106,162,26,109,125,58,50,12,40,64448,53691,586,153,36,115,18,44,113,45,50,12,0
1400000US42003101600,42003101600,1016,684,345,50.4,339,49.6,18.6,31.4,281,90,81,98,6,6,281,0,0,15,3,22,17,4,36,26,116,36,6,0,281,226,55,0,0,398,111,6,71,57,71,36,16,20,0,10,72786,49716,313,108,12,42,25,54,31,16,19,0,6
1400000US42003982200,42003982200,9822,4644,1482,31.9,3162,68.1,18,14.3,1215,314,332,491,11,67,1215,0,11,34,8,257,8,27,12,25,518,245,44,26,1215,1134,53,28,0,19,6,5,4,0,0,0,0,0,4,0,45384,44847,4,0,0,0,0,0,0,0,0,4,0
1400000US42003422000,42003422000,4220,3975,2401,60.4,1574,39.6,4.9,26.3,2283,1717,57,478,7,24,2283,0,91,169,98,132,30,57,221,479,831,48,93,34,2283,1842,134,307,0,1869,0,21,66,27,83,163,166,284,230,829,267231,40255,1647,0,7,0,14,83,135,166,232,216,794
1400000US42003563300,42003563300,5633,1120,736,65.7,384,34.3,1.2,30.1,727,428,66,172,25,36,727,3,21,83,43,72,32,10,97,90,195,38,36,7,727,647,35,43,2,555,11,8,48,24,21,57,32,84,33,237,282563,38164,437,7,3,13,7,10,31,32,70,31,233
1400000US42003523600,42003523600,5236,4125,2576,62.4,1549,37.6,3.1,29,2497,913,659,599,79,247,2497,45,75,253,36,194,98,99,270,53,739,215,174,246,2497,1983,447,60,7,1999,71,128,118,138,156,517,393,351,38,89,92400,32505,1329,58,17,76,101,129,243,276,321,38,70
1400000US42003140100,42003140100,1401,4977,2271,45.6,2706,54.4,5.9,15.9,2136,1305,373,335,45,78,2136,32,42,62,55,121,6,49,51,309,1116,216,62,15,2136,1940,87,101,8,899,37,52,18,59,39,53,50,113,104,374,222330,30974,575,0,24,10,14,22,42,15,55,66,327
1400000US42003473300,42003473300,4733,4237,2757,65.1,1480,34.9,1.7,27.2,2711,1690,275,531,111,104,2711,35,91,177,116,233,56,121,253,550,776,94,103,106,2711,2176,341,194,0,2189,102,42,105,160,170,366,205,537,170,332,124889,30561,1469,43,0,14,42,76,189,178,440,187,300
1400000US42003472200,42003472200,4722,1975,1495,75.7,480,24.3,2.6,29.5,1456,727,201,343,117,68,1456,18,79,121,42,56,72,26,247,242,387,97,47,22,1456,1288,132,36,0,1050,8,76,88,105,89,120,282,180,80,22,95332,30425,532,0,8,42,30,14,86,216,86,39,11
1400000US42003140200,42003140200,1402,2251,1340,59.5,911,40.5,3.7,18.9,1291,857,126,228,27,53,1291,0,27,37,10,84,21,33,97,233,574,122,38,15,1291,1110,52,129,0,1041,135,50,99,73,117,93,62,137,122,153,123128,29081,418,23,15,27,6,16,6,20,70,120,115
