GEO_KEY,GEO_ID,CENSUS_TRACT,TOTAL_POPULATION,WHITE_ONLY,BLACK_ONLY,AMERICAN_INDIAN_ALASKA_NATIVE_ONLY,ASIAN_TOTAL,NATIVE_HAWAIIAN_OTHER_PI_ONLY,OTHER_ONLY,TWO_OR_MORE_ONLY,TWO_OR_MORE_PLUS_OTHER
1400000US42003010300,42003010300,103,6546,4299,1738,27,246,0,6,230,8
1400000US42003020100,42003020100,201,4823,3845,313,30,523,0,0,112,17
1400000US42003020300,42003020300,203,943,816,59,0,54,0,0,14,0
1400000US42003030500,42003030500,305,2177,187,1704,22,20,0,83,161,26
1400000US42003040200,42003040200,402,1742,720,751,0,191,0,8,72,0
1400000US42003040400,42003040400,404,1988,1334,212,0,405,0,12,25,0
1400000US42003040500,42003040500,405,3849,3351,191,0,228,0,50,29,0
1400000US42003040600,42003040600,406,2134,1785,100,0,122,0,0,127,20
1400000US42003040900,42003040900,409,3166,2165,516,0,265,0,10,210,0
1400000US42003050100,42003050100,501,2148,152,1689,0,19,0,0,288,0
1400000US42003050600,42003050600,506,2118,389,1522,0,207,0,0,0,0
1400000US42003050900,42003050900,509,1291,35,1252,0,0,0,0,4,0
1400000US42003051000,42003051000,510,2128,935,906,0,214,0,7,66,8
1400000US42003051100,42003051100,511,152,0,152,0,0,0,0,0,0
1400000US42003060300,42003060300,603,2481,1991,320,0,24,0,0,146,12
1400000US42003060500,42003060500,605,1278,1166,77,0,0,0,0,35,0
1400000US42003070300,42003070300,703,2192,1901,43,7,182,0,17,42,0
1400000US42003070500,42003070500,705,3202,2376,69,0,679,0,0,78,33
1400000US42003070600,42003070600,706,1968,1579,117,0,189,0,37,46,0
1400000US42003070800,42003070800,708,1929,1435,42,0,405,0,10,37,20
1400000US42003070900,42003070900,709,4283,2374,298,15,1498,0,1,97,0
1400000US42003080200,42003080200,802,1545,1495,37,0,13,0,0,0,0
1400000US42003080400,42003080400,804,1525,1153,119,0,222,0,8,23,0
1400000US42003080600,42003080600,806,2048,1852,85,0,45,0,25,41,0
1400000US42003080700,42003080700,807,1858,1238,247,0,317,0,1,55,0
1400000US42003080900,42003080900,809,1786,1374,246,7,119,0,13,27,6
1400000US42003090100,42003090100,901,1871,1810,11,0,10,0,0,40,0
1400000US42003090200,42003090200,902,2907,2557,154,0,76,0,0,120,0
1400000US42003090300,42003090300,903,1781,1430,284,0,35,0,9,23,0
1400000US42003100500,42003100500,1005,1970,612,1302,0,18,0,0,38,0
1400000US42003101100,42003101100,1011,2597,2106,358,0,28,0,0,105,0
1400000US42003101400,42003101400,1014,3138,2737,279,16,47,0,0,59,0
1400000US42003101600,42003101600,1016,1132,82,1011,0,0,0,28,11,0
1400000US42003101700,42003101700,1017,1387,410,861,13,22,0,24,57,0
1400000US42003101800,42003101800,1018,2646,1950,597,5,14,0,14,66,16
1400000US42003110200,42003110200,1102,4414,2756,1332,0,221,0,0,105,1
1400000US42003110600,42003110600,1106,2325,1906,311,0,56,0,0,52,0
1400000US42003111300,42003111300,1113,2945,1264,1391,0,75,0,88,127,0
1400000US42003111400,42003111400,1114,1327,265,881,0,28,0,17,136,15
1400000US42003111500,42003111500,1115,3151,851,1893,2,319,0,0,86,0
1400000US42003120300,42003120300,1203,1730,189,1399,0,0,10,0,132,30
1400000US42003120400,42003120400,1204,758,33,648,0,12,0,0,65,0
1400000US42003120700,42003120700,1207,879,3,807,9,35,0,0,25,0
1400000US42003120800,42003120800,1208,718,151,565,0,0,0,0,2,0
1400000US42003130100,42003130100,1301,1804,37,1640,0,33,0,6,88,0
1400000US42003130200,42003130200,1302,1605,70,1502,0,0,0,0,33,0
1400000US42003130300,42003130300,1303,1211,35,1160,0,6,0,0,10,0
1400000US42003130400,42003130400,1304,990,46,808,1,29,0,0,106,0
1400000US42003130600,42003130600,1306,2725,147,2468,0,0,0,0,110,0
1400000US42003140100,42003140100,1401,5382,3582,315,9,1301,0,26,149,6
1400000US42003140200,42003140200,1402,2486,2004,52,0,300,0,72,58,14
1400000US42003140300,42003140300,1403,3925,3226,236,0,334,0,0,129,0
1400000US42003140400,42003140400,1404,2347,1980,44,5,214,0,10,94,0
1400000US42003140500,42003140500,1405,1912,1054,721,27,58,0,0,52,0
1400000US42003140600,42003140600,1406,3308,2863,298,0,57,0,0,90,0
1400000US42003140800,42003140800,1408,4526,3743,26,0,632,0,63,62,0
1400000US42003141000,42003141000,1410,1001,971,10,0,6,0,0,14,0
1400000US42003141100,42003141100,1411,1309,1184,61,0,27,0,0,37,0
1400000US42003141300,42003141300,1413,5309,3447,138,5,1469,0,69,181,4
1400000US42003141400,42003141400,1414,5482,4438,438,27,506,0,14,59,0
1400000US42003151600,42003151600,1516,2690,2457,72,0,71,0,0,90,0
1400000US42003151700,42003151700,1517,5392,4951,178,0,93,0,55,115,0
1400000US42003160800,42003160800,1608,2849,2433,341,0,0,0,0,75,0
1400000US42003160900,42003160900,1609,3370,3063,174,0,118,0,0,15,0
1400000US42003170200,42003170200,1702,3557,3300,76,25,40,0,44,72,0
1400000US42003170600,42003170600,1706,1734,1626,63,3,11,0,4,27,0
1400000US42003180300,42003180300,1803,2320,1040,1088,0,36,0,16,140,0
1400000US42003180700,42003180700,1807,2040,1502,436,7,0,0,23,72,0
1400000US42003190300,42003190300,1903,1785,1680,44,0,13,0,0,48,0
1400000US42003191100,42003191100,1911,2486,2322,49,0,91,0,0,24,0
1400000US42003191400,42003191400,1914,2685,2375,206,7,15,0,26,56,0
1400000US42003191500,42003191500,1915,1994,1664,210,0,77,0,0,43,0
1400000US42003191600,42003191600,1916,4357,3492,603,0,61,0,0,201,0
1400000US42003191700,42003191700,1917,3582,3124,259,7,85,0,19,88,7
1400000US42003191800,42003191800,1918,5198,4734,117,24,165,0,30,128,76
1400000US42003191900,42003191900,1919,2033,1569,271,14,97,0,0,82,0
1400000US42003192000,42003192000,1920,3656,2887,444,0,91,0,32,202,0
1400000US42003202200,42003202200,2022,2897,1518,1062,0,177,0,0,140,0
1400000US42003202300,42003202300,2023,3810,3178,235,0,337,0,0,60,0
1400000US42003210700,42003210700,2107,2156,678,1441,0,5,0,0,32,0
1400000US42003220600,42003220600,2206,1651,1064,430,12,87,0,0,58,0
1400000US42003240600,42003240600,2406,2046,1662,130,10,59,0,0,185,0
1400000US42003241200,42003241200,2412,825,666,121,0,0,0,0,38,0
1400000US42003250300,42003250300,2503,1073,637,392,0,0,0,39,5,0
1400000US42003250700,42003250700,2507,717,141,523,0,18,0,16,19,10
1400000US42003250900,42003250900,2509,1097,432,638,3,4,0,0,20,0
1400000US42003260200,42003260200,2602,2008,1431,494,3,0,0,12,68,6
1400000US42003260700,42003260700,2607,1681,1027,509,0,0,0,7,138,88
1400000US42003260900,42003260900,2609,1606,34,1510,0,0,0,0,62,0
1400000US42003261200,42003261200,2612,1154,1036,104,0,0,0,0,14,0
1400000US42003261400,42003261400,2614,1993,501,1464,0,6,0,0,22,0
1400000US42003261500,42003261500,2615,1533,444,1009,4,7,0,17,52,0
1400000US42003262000,42003262000,2620,2635,1706,654,0,71,0,22,182,0
1400000US42003270100,42003270100,2701,2610,1915,560,4,23,0,16,92,0
1400000US42003270300,42003270300,2703,1989,1198,667,0,0,0,0,124,0
1400000US42003270400,42003270400,2704,1029,550,439,0,0,0,2,38,2
1400000US42003270800,42003270800,2708,2462,1875,436,7,90,0,0,54,0
1400000US42003271500,42003271500,2715,2723,1345,1053,0,64,0,38,223,6
1400000US42003281400,42003281400,2814,2720,1367,1101,0,94,0,66,92,27
1400000US42003281500,42003281500,2815,1473,1227,160,0,19,0,23,44,0
1400000US42003290100,42003290100,2901,2058,1473,447,0,79,0,0,59,0
1400000US42003290200,42003290200,2902,4185,3351,303,3,454,0,0,74,0
1400000US42003290400,42003290400,2904,4215,3273,722,0,26,61,11,122,0
1400000US42003300100,42003300100,3001,3365,1357,1597,0,218,0,0,193,0
1400000US42003310200,42003310200,3102,3601,3601,0,0,0,0,0,0,0
1400000US42003310300,42003310300,3103,930,761,115,0,0,0,0,54,0
1400000US42003320400,42003320400,3204,1970,1778,111,0,0,0,0,81,10
1400000US42003320600,42003320600,3206,2259,1979,102,0,12,0,0,166,0
1400000US42003320700,42003320700,3207,1494,1372,38,0,73,6,0,5,0
1400000US42003401100,42003401100,4011,4747,4452,116,0,67,0,0,112,0
1400000US42003401200,42003401200,4012,2911,2808,23,18,14,0,48,0,0
1400000US42003401300,42003401300,4013,2783,2655,26,0,21,0,7,74,0
1400000US42003402000,42003402000,4020,3227,3021,148,0,6,0,0,52,0
1400000US42003403500,42003403500,4035,4480,3720,510,0,0,0,0,250,0
1400000US42003404000,42003404000,4040,1388,1338,20,0,0,0,0,30,4
1400000US42003405000,42003405000,4050,1084,1075,0,0,9,0,0,0,0
1400000US42003406000,42003406000,4060,2336,2311,18,0,0,7,0,0,0
1400000US42003407001,42003407001,4070.01,5289,5212,0,0,0,0,0,77,0
1400000US42003407002,42003407002,4070.02,6624,6508,24,0,19,0,0,73,8
1400000US42003408001,42003408001,4080.01,5276,5108,3,0,114,0,0,51,0
1400000US42003408002,42003408002,4080.02,6217,5872,154,0,126,0,34,31,0
1400000US42003409000,42003409000,4090,12682,11784,163,50,594,0,30,61,0
1400000US42003410000,42003410000,4100,1154,1119,4,0,22,0,0,9,0
1400000US42003411000,42003411000,4110,8232,6923,263,0,970,0,0,76,0
1400000US42003412001,42003412001,4120.01,8938,7256,157,50,1070,0,109,296,69
1400000US42003412002,42003412002,4120.02,5363,4837,55,5,443,0,0,23,0
1400000US42003413100,42003413100,4131,6848,5313,32,10,1206,0,12,275,42
1400000US42003413201,42003413201,4132.01,3674,3467,51,0,89,0,0,67,10
1400000US42003413202,42003413202,4132.02,2687,2613,0,0,74,0,0,0,0
1400000US42003413300,42003413300,4133,4605,4085,186,0,264,0,7,63,19
1400000US42003413400,42003413400,4134,4278,4006,32,5,235,0,0,0,0
1400000US42003413500,42003413500,4135,6647,5721,321,0,490,7,13,95,0
1400000US42003414101,42003414101,4141.01,5280,5154,80,0,29,0,2,15,0
1400000US42003414102,42003414102,4141.02,7476,6836,83,0,476,21,0,60,0
1400000US42003414200,42003414200,4142,5656,5487,124,0,44,0,0,1,0
1400000US42003415001,42003415001,4150.01,4754,4402,30,0,145,0,0,177,0
1400000US42003415002,42003415002,4150.02,2514,2234,27,0,151,0,26,76,0
1400000US42003416000,42003416000,4160,1641,1618,0,0,7,0,4,12,5
1400000US42003417100,42003417100,4171,2054,1962,21,0,9,0,0,62,14
1400000US42003417200,42003417200,4172,1321,1321,0,0,0,0,0,0,0
1400000US42003418000,42003418000,4180,1732,1717,1,3,5,0,0,6,0
1400000US42003419000,42003419000,4190,3067,3024,26,0,17,0,0,0,0
1400000US42003420000,42003420000,4200,1585,1143,72,0,265,0,28,77,0
1400000US42003421100,42003421100,4211,4560,3828,58,7,558,0,0,109,0
1400000US42003421200,42003421200,4212,4249,4023,1,0,167,0,33,25,0
1400000US42003422000,42003422000,4220,5363,4908,0,0,257,0,106,92,0
1400000US42003423000,42003423000,4230,2769,2494,0,0,232,0,0,43,0
1400000US42003424000,42003424000,4240,3414,2890,296,0,34,0,138,56,11
1400000US42003425000,42003425000,4250,3399,3144,100,0,108,0,0,47,0
1400000US42003426300,42003426300,4263,6094,5935,18,0,10,19,0,112,0
1400000US42003426400,42003426400,4264,4082,3914,19,0,128,0,0,21,0
1400000US42003426700,42003426700,4267,2248,2194,18,0,0,0,0,36,0
1400000US42003426800,42003426800,4268,5713,5304,188,13,31,0,0,177,0
1400000US42003427000,42003427000,4270,3692,3429,186,0,12,0,0,65,0
1400000US42003427100,42003427100,4271,5473,5383,0,0,0,28,0,62,0
1400000US42003427200,42003427200,4272,4871,4651,220,0,0,0,0,0,0
1400000US42003428100,42003428100,4281,1200,1193,0,0,0,0,0,7,1
1400000US42003428200,42003428200,4282,2100,2058,42,0,0,0,0,0,0
1400000US42003429100,42003429100,4291,2667,2386,55,9,193,0,8,16,10
1400000US42003429201,42003429201,4292.01,4412,3881,105,0,363,0,0,63,0
1400000US42003429202,42003429202,4292.02,4320,4057,43,0,126,0,52,42,0
1400000US42003429300,42003429300,4293,5383,5197,69,34,69,0,13,1,0
1400000US42003429400,42003429400,4294,4403,4155,123,0,42,0,0,83,0
1400000US42003429500,42003429500,4295,4107,3440,205,0,326,0,56,80,13
1400000US42003429600,42003429600,4296,3158,2950,116,6,30,0,0,56,0
1400000US42003429700,42003429700,4297,2419,2352,38,0,7,0,16,6,0
1400000US42003430100,42003430100,4301,2119,1953,65,0,18,0,42,41,0
1400000US42003430200,42003430200,4302,4579,4503,27,10,0,0,0,39,0
1400000US42003431100,42003431100,4311,3170,2786,224,10,0,0,49,101,7
1400000US42003431400,42003431400,4314,1939,1547,336,0,13,0,0,43,8
1400000US42003431500,42003431500,4315,3160,2790,247,0,43,0,12,68,11
1400000US42003432300,42003432300,4323,2038,1719,223,16,0,0,21,59,0
1400000US42003432400,42003432400,4324,2604,2263,107,2,46,0,33,153,0
1400000US42003434000,42003434000,4340,1884,1797,28,0,7,0,14,38,0
1400000US42003435000,42003435000,4350,2411,2235,66,0,7,0,0,103,9
1400000US42003437000,42003437000,4370,6098,5369,353,0,259,0,0,117,2
1400000US42003439000,42003439000,4390,1362,1264,68,0,13,0,0,17,0
1400000US42003445500,42003445500,4455,3862,3302,343,0,125,0,69,23,0
1400000US42003446000,42003446000,4460,1826,1633,3,0,182,0,0,8,0
1400000US42003447000,42003447000,4470,1589,1484,28,0,40,0,19,18,0
1400000US42003448000,42003448000,4480,1257,1124,42,0,14,0,0,77,24
1400000US42003449000,42003449000,4490,2606,2452,54,0,20,0,1,79,0
1400000US42003450700,42003450700,4507,3196,2585,295,0,7,0,14,295,0
1400000US42003450800,42003450800,4508,2411,1776,542,0,0,0,0,93,0
1400000US42003451101,42003451101,4511.01,3686,3407,106,9,109,0,10,45,5
1400000US42003451102,42003451102,4511.02,5581,4786,381,42,213,0,10,149,22
1400000US42003451104,42003451104,4511.04,3580,3397,66,0,31,0,48,38,0
1400000US42003451105,42003451105,4511.05,5215,4181,264,3,481,0,74,212,0
1400000US42003451300,42003451300,4513,7428,6502,289,0,418,0,0,219,0
1400000US42003452000,42003452000,4520,5509,5251,138,0,0,0,68,52,0
1400000US42003453003,42003453003,4530.03,1854,1822,24,0,0,0,0,8,0
1400000US42003453004,42003453004,4530.04,7067,6219,285,1,275,0,0,287,0
1400000US42003455000,42003455000,4550,1512,1466,20,0,0,0,8,18,0
1400000US42003456001,42003456001,4560.01,3425,3196,11,21,146,0,19,32,0
1400000US42003456003,42003456003,4560.03,7250,6426,85,0,739,0,0,0,0
1400000US42003456004,42003456004,4560.04,4709,4499,57,14,126,0,0,13,0
1400000US42003457100,42003457100,4571,1532,1430,42,0,0,0,1,59,0
1400000US42003457200,42003457200,4572,3559,3342,85,19,67,0,0,46,0
1400000US42003458000,42003458000,4580,7928,7689,54,0,165,0,14,6,0
1400000US42003459101,42003459101,4591.01,1799,1547,135,0,22,0,35,60,11
1400000US42003459102,42003459102,4591.02,5994,5557,162,0,223,0,0,52,0
1400000US42003459201,42003459201,4592.01,5864,5458,38,0,234,0,122,12,0
1400000US42003459202,42003459202,4592.02,737,646,54,5,1,0,0,31,0
1400000US42003460001,42003460001,4600.01,4728,4609,2,0,59,0,0,58,0
1400000US42003460002,42003460002,4600.02,3330,3108,37,0,163,0,0,22,0
1400000US42003461000,42003461000,4610,1096,972,60,0,3,0,32,29,8
1400000US42003462100,42003462100,4621,2823,2014,609,10,0,0,0,190,0
1400000US42003462600,42003462600,4626,3459,2431,707,30,14,0,90,187,0
1400000US42003463900,42003463900,4639,2566,1925,548,0,0,0,8,85,0
1400000US42003464300,42003464300,4643,3284,2794,322,0,14,0,0,154,0
1400000US42003464400,42003464400,4644,3471,2068,1216,0,0,0,29,158,0
1400000US42003465600,42003465600,4656,2523,2306,162,0,0,0,0,55,0
1400000US42003465800,42003465800,4658,3364,3059,219,18,12,0,0,56,0
1400000US42003468700,42003468700,4687,1645,1505,111,3,0,0,6,20,0
1400000US42003468800,42003468800,4688,2509,2092,281,0,12,10,0,114,0
1400000US42003468900,42003468900,4689,3781,3002,537,0,60,0,8,174,0
1400000US42003469000,42003469000,4690,4843,4468,117,0,221,0,0,37,0
1400000US42003470300,42003470300,4703,4050,3500,162,0,184,0,5,199,0
1400000US42003470400,42003470400,4704,2905,2751,70,5,34,0,22,23,0
1400000US42003470501,42003470501,4705.01,3645,2154,35,0,1199,0,1,256,42
1400000US42003470502,42003470502,4705.02,2988,2729,144,6,77,0,0,32,0
1400000US42003470600,42003470600,4706,3259,2961,198,0,41,0,0,59,0
1400000US42003471000,42003471000,4710,1247,1198,16,0,30,0,3,0,0
1400000US42003472100,42003472100,4721,2403,2195,77,0,32,0,11,88,7
1400000US42003472200,42003472200,4722,2222,2130,17,0,39,0,0,36,0
1400000US42003472300,42003472300,4723,2014,1794,149,6,0,0,26,39,0
1400000US42003472400,42003472400,4724,1849,1785,11,0,35,0,0,18,0
1400000US42003473100,42003473100,4731,4794,4577,15,0,113,0,58,31,0
1400000US42003473200,42003473200,4732,2955,2681,49,0,103,0,0,122,0
1400000US42003473300,42003473300,4733,5455,5207,6,0,131,0,0,111,35
1400000US42003473401,42003473401,4734.01,3711,3548,10,0,89,0,25,39,0
1400000US42003473402,42003473402,4734.02,3562,3338,14,0,138,0,0,72,0
1400000US42003473500,42003473500,4735,3850,3754,13,0,53,0,0,30,0
1400000US42003473601,42003473601,4736.01,3801,3507,116,0,141,0,0,37,0
1400000US42003473602,42003473602,4736.02,4632,4054,89,35,424,0,0,30,0
1400000US42003474101,42003474101,4741.01,3610,3020,49,4,355,0,37,145,41
1400000US42003474102,42003474102,4741.02,3750,3439,9,15,246,0,0,41,0
1400000US42003474201,42003474201,4742.01,2426,2252,0,0,159,0,4,11,0
1400000US42003474202,42003474202,4742.02,5090,4654,17,0,355,0,0,64,31
1400000US42003474203,42003474203,4742.03,4648,4092,1,5,421,0,7,122,20
1400000US42003475101,42003475101,4751.01,4568,4158,100,0,239,0,0,71,0
1400000US42003475102,42003475102,4751.02,1549,1475,4,0,38,0,16,16,0
1400000US42003475200,42003475200,4752,4780,4722,16,0,0,0,10,32,21
1400000US42003475301,42003475301,4753.01,4847,4411,93,9,109,0,0,225,0
1400000US42003475303,42003475303,4753.03,3863,3799,23,0,0,0,10,31,18
1400000US42003475304,42003475304,4753.04,5663,4922,132,29,209,0,33,338,0
1400000US42003475401,42003475401,4754.01,3873,3737,54,0,0,0,0,82,0
1400000US42003475402,42003475402,4754.02,3036,2930,0,0,4,37,0,65,25
1400000US42003476100,42003476100,4761,4875,4517,85,0,251,0,0,22,21
1400000US42003476200,42003476200,4762,3376,3239,24,0,29,0,0,84,0
1400000US42003477100,42003477100,4771,3361,3229,7,0,67,0,0,58,45
1400000US42003477200,42003477200,4772,4131,4098,5,4,9,0,0,15,0
1400000US42003477300,42003477300,4773,6336,4529,274,30,1056,0,82,365,0
1400000US42003478100,42003478100,4781,4161,3695,233,20,142,0,41,30,0
1400000US42003478200,42003478200,4782,5367,5064,81,60,79,0,0,83,11
1400000US42003479000,42003479000,4790,2039,1903,0,0,81,0,2,53,6
1400000US42003480101,42003480101,4801.01,5270,3583,922,0,616,0,42,107,11
1400000US42003480102,42003480102,4801.02,3135,2898,123,0,101,0,13,0,0
1400000US42003480200,42003480200,4802,3412,3008,272,0,104,0,0,28,11
1400000US42003480300,42003480300,4803,3452,3329,28,0,8,10,0,77,11
1400000US42003480400,42003480400,4804,4474,4422,46,6,0,0,0,0,0
1400000US42003481000,42003481000,4810,3364,1710,1454,7,72,0,0,121,0
1400000US42003482500,42003482500,4825,1699,1469,156,9,0,0,0,65,0
1400000US42003483800,42003483800,4838,3153,892,2038,0,77,0,0,146,0
1400000US42003484300,42003484300,4843,3219,2307,724,0,48,0,0,140,0
1400000US42003484500,42003484500,4845,5832,5757,11,0,64,0,0,0,0
1400000US42003484600,42003484600,4846,2245,1840,318,0,0,0,28,59,0
1400000US42003485000,42003485000,4850,1134,951,137,0,0,0,30,16,0
1400000US42003486700,42003486700,4867,2204,767,1047,0,0,0,37,353,54
