,FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Shape__Are,Shape__Len,geometry
0,1,42,3,50900,1400000US42003050900,42003050900,509,CT,452643,4114,4.62E-05,0.045047815,"POLYGON ((-79.9839023143856 40.4485279715999, -79.9809453130088 40.4499229715726, -79.97914931240381 40.4504099717178, -79.97685331197449 40.4509729718065, -79.9739493112849 40.4527129724639, -79.9736703109331 40.4528509725709, -79.9660133091014 40.4556679738416, -79.9660083088346 40.4551989737082, -79.9656793087368 40.4536729732069, -79.9649283079884 40.452890973001, -79.96666830874921 40.4531829729575, -79.96946030967671 40.4520049722484, -79.9711343099178 40.4502169721192, -79.97252631064551 40.4496279717648, -79.9730013102786 40.4505009716998, -79.9755533117622 40.4494169717565, -79.98243231344109 40.4465009713308, -79.9836553136458 40.4476499714235, -79.9839023143856 40.4485279715999))"
1,2,42,3,70300,1400000US42003070300,42003070300,703,CT,428546,0,4.55E-05,0.028484179,"POLYGON ((-79.9409513009155 40.4513239734176, -79.9368082993369 40.4527149741553, -79.93596729989341 40.4531149738281, -79.9325712988381 40.4547539743264, -79.9309822977165 40.4520699742163, -79.92964929682159 40.4498349742022, -79.9342082988245 40.4484079735782, -79.9358052991842 40.447918973349, -79.937294299054 40.4477999731705, -79.93884129981871 40.4476939726921, -79.9409513009155 40.4513239734176))"
2,3,42,3,120700,1400000US42003120700,42003120700,1207,CT,514927,0,5.46E-05,0.031371756,"POLYGON ((-79.90955029143819 40.4566989763483, -79.9080432908701 40.4586819765067, -79.9057942910114 40.4617929767692, -79.9056202910871 40.4626039774585, -79.9041912904496 40.4633219774926, -79.903327289925 40.4635419778245, -79.9006332890151 40.4642469782103, -79.8990302892124 40.4638729780479, -79.90093928934159 40.4589589770483, -79.9011182886244 40.458497976378, -79.90227428901861 40.4556069764571, -79.9028452893937 40.4548869763673, -79.903151289218 40.4549889756814, -79.90491129002061 40.4554499762683, -79.9052672903683 40.455563976136, -79.9053132898004 40.4554899763046, -79.90548229043419 40.4552529761148, -79.9096902916332 40.4565729759037, -79.90955029143819 40.4566989763483))"
3,4,42,3,140400,1400000US42003140400,42003140400,1404,CT,834995,0,8.89E-05,0.038374172,"POLYGON ((-79.9215792943348 40.4476779735929, -79.9202332941617 40.4512259742673, -79.9207152950782 40.4529019745135, -79.9153572928019 40.4536219748092, -79.9124272926063 40.4540449756367, -79.90945029094971 40.4520469749765, -79.9081952911019 40.4514949755499, -79.9101612913406 40.4487689742414, -79.9108052914935 40.4478589743435, -79.9114382911385 40.4469859743608, -79.91165329120641 40.4467039738838, -79.91412829186871 40.4463649742675, -79.9156712923393 40.4447859739293, -79.9177792930425 40.4443339735929, -79.9205162941668 40.4438589730637, -79.9215792943348 40.4476779735929))"
4,5,42,3,180700,1400000US42003180700,42003180700,1807,CT,393380,0,4.21E-05,0.026141811,"POLYGON ((-80.0056143189228 40.4270179665789, -80.00384131851111 40.4278379668545, -79.9976233166476 40.4267569665285, -79.9975303167511 40.4257309666867, -79.9974853163128 40.4237269656226, -79.9974043159971 40.4216559659541, -79.99825631596531 40.4214489653253, -80.002470317369 40.4217819652752, -80.0027483177208 40.4222739655627, -80.0049483182263 40.4222069650634, -80.0049583187084 40.4224489654771, -80.0050243182786 40.4238529657365, -80.0050993191844 40.4255059658345, -80.0056143189228 40.4270179665789))"
5,6,42,3,220600,1400000US42003220600,42003220600,2206,CT,430172,0,4.69E-05,0.041663876,"POLYGON ((-80.0201123258706 40.4552079708937, -80.0180783250146 40.455776971249, -80.0153943245521 40.4562419713132, -80.00833732258219 40.4575069717383, -80.00776732230079 40.4588629725002, -80.00684332168881 40.4590809727421, -80.0022413202541 40.4586899728215, -80.0016703196578 40.4564139717757, -80.0026243198663 40.4562269720686, -80.00763332211039 40.4552799711686, -80.0145713239485 40.4539739706488, -80.0154753245378 40.4538419707927, -80.0194323256231 40.4531099709005, -80.0201123258706 40.4552079708937))"
6,7,42,3,270100,1400000US42003270100,42003270100,2701,CT,1039795,131921,0.000124919,0.048324939,"POLYGON ((-80.0531823378753 40.4821779745654, -80.0511033377057 40.4837899755553, -80.0499063371232 40.4855309752859, -80.0464473358424 40.4871709758334, -80.0455973359992 40.4878119758743, -80.043254335276 40.4895769767658, -80.0409523343842 40.4876549759997, -80.0368393331229 40.4866549766366, -80.0358233325472 40.4843189755301, -80.0351583321108 40.4824149755267, -80.0339643314867 40.4817149755399, -80.03931333330711 40.480497974713, -80.0410823335624 40.4800749748345, -80.0428233343185 40.4796779743624, -80.0430363342595 40.4789379742613, -80.043954334579 40.4785319743074, -80.0483973356926 40.4771139741047, -80.05172533761851 40.4812949742101, -80.0531823378753 40.4821779745654))"
7,8,42,3,281400,1400000US42003281400,42003281400,2814,CT,1328964,0,0.000140334,0.051212669,"POLYGON ((-80.0628433387273 40.448552967554, -80.0599613372902 40.450684968376, -80.054526336027 40.4526129688551, -80.0526513352812 40.4521419687098, -80.05127733530171 40.4515439689573, -80.0450813326386 40.4501609690359, -80.0434543323226 40.4457459679133, -80.0416143313811 40.4449779684028, -80.045786332414 40.4423409675231, -80.0453093327242 40.4419569677487, -80.0467273328409 40.4411089670912, -80.0545953358744 40.4437189671003, -80.05537433608281 40.4439439675929, -80.0585003364629 40.4445959670723, -80.0609383373871 40.446714967962, -80.0618723376588 40.4477799677745, -80.0628433387273 40.448552967554))"
8,9,42,3,310300,1400000US42003310300,42003310300,3103,CT,2046497,0,0.000220502,0.069525138,"POLYGON ((-79.9320412934496 40.3859019615966, -79.9312332931674 40.3907599626553, -79.92962229294621 40.3897389622106, -79.9182472898747 40.3993139645127, -79.916403289665 40.3987919647018, -79.9133092879872 40.3969799645649, -79.91691528879559 40.3939289634244, -79.9149032888799 40.3933979641032, -79.9184692894932 40.3884829629847, -79.9177892893662 40.3880109627411, -79.9160872881605 40.3821209616661, -79.9173172885675 40.3816049611018, -79.9162442881053 40.3800869610021, -79.92049928944211 40.3780769603743, -79.92551029106249 40.3796149603318, -79.9313112926868 40.3838889610439, -79.9320412934496 40.3859019615966))"
9,10,42,3,408002,1400000US42003408002,42003408002,4080.02,CT,11667028,0,0.001244283,0.186282153,"POLYGON ((-79.9919723302976 40.6315020055821, -79.988407329368 40.6314960054588, -79.9853113276265 40.6301210057756, -79.9836923270887 40.629859005405, -79.9804753262124 40.6309950059861, -79.9778133258143 40.6307020060239, -79.97522932461391 40.631389006471, -79.97106832380069 40.6301340060952, -79.96866132265831 40.6299470065336, -79.9662823220194 40.6311390069735, -79.9616883209781 40.6310760069531, -79.9564293189285 40.6335170077958, -79.9534573185242 40.6331770074693, -79.9523013179214 40.633238007646, -79.95041331758721 40.6343390083474, -79.9489433168324 40.6348860085588, -79.94129931452549 40.6353180082089, -79.9397893145305 40.6347780084506, -79.9372793129549 40.6326070087552, -79.93539131258019 40.6331650085948, -79.93259131203369 40.6323790082931, -79.93086331114171 40.6349310087269, -79.9226213092587 40.6394880105529, -79.9209033070555 40.6182060063249, -79.9206133069237 40.6160780058265, -79.9365023115993 40.6157460050548, -79.9467883151635 40.6154630049954, -79.9507443162499 40.6153480048951, -79.9682253210722 40.6147940036668, -79.9743553232525 40.614557003219, -79.99114332830069 40.614321002356, -79.9919723302976 40.6315020055821))"
