GEO_ID,CensusTract,TotalPopulation,OwnedMortgage,OwnedFree,TotalOwned,RenterOccupied
42003010300,103,588,81,108,189,399
42003020100,201,2538,304,168,472,2066
42003020300,203,616,47,13,60,556
42003030500,305,2140,410,151,561,1579
42003040200,402,1345,297,142,439,906
42003040400,404,2163,244,633,877,1286
42003040500,405,2958,92,128,220,2738
42003040600,406,2392,63,130,193,2199
42003040900,409,2877,591,385,976,1901
42003050100,501,1682,337,256,593,1089
42003050600,506,2057,735,429,1164,893
42003050900,509,1202,44,53,97,1105
42003051000,510,1307,57,49,106,1201
42003051100,511,1122,4,,4,1118
42003060300,603,2319,635,308,943,1376
42003060500,605,1274,400,324,724,550
42003070300,703,2067,557,221,778,1289
42003070500,705,2986,461,178,639,2347
42003070600,706,2069,458,251,709,1360
42003070800,708,1688,287,145,432,1256
42003070900,709,4388,878,467,1345,3043
42003080200,802,1679,487,302,789,890
42003080400,804,1369,274,149,423,946
42003080600,806,1992,569,241,810,1182
42003080700,807,1696,281,80,361,1335
42003080900,809,1699,420,209,629,1070
42003090100,901,1834,527,322,849,985
42003090200,902,2548,843,509,1352,1196
42003090300,903,1629,457,237,694,935
42003100500,1005,2031,1175,349,1524,507
42003101100,1011,2664,614,492,1106,1558
42003101400,1014,3341,1660,594,2254,1087
42003101600,1016,857,173,78,251,606
42003101700,1017,1465,536,266,802,663
42003101800,1018,2522,1522,667,2189,333
42003110200,1102,3947,1444,416,1860,2087
42003110600,1106,2406,1353,459,1812,594
42003111300,1113,2475,500,172,672,1803
42003111400,1114,1345,360,214,574,771
42003111500,1115,3051,308,148,456,2595
42003120300,1203,1650,436,373,809,841
42003120400,1204,869,194,192,386,483
42003120700,1207,801,185,137,322,479
42003120800,1208,703,169,159,328,375
42003130100,1301,1910,373,314,687,1223
42003130200,1302,1370,442,313,755,615
42003130300,1303,1139,269,161,430,709
42003130400,1304,1188,250,211,461,727
42003130600,1306,3169,804,515,1319,1850
42003140100,1401,2553,1275,650,1925,628
42003140200,1402,2189,708,323,1031,1158
42003140300,1403,3432,1427,649,2076,1356
42003140400,1404,2306,1396,545,1941,365
42003140500,1405,2039,606,209,815,1224
42003140600,1406,2985,1634,547,2181,804
42003140800,1408,4550,1873,735,2608,1942
42003141000,1410,928,525,190,715,213
42003141100,1411,1358,783,369,1152,206
42003141300,1413,4819,1343,586,1929,2890
42003141400,1414,5227,2333,788,3121,2106
42003151600,1516,2363,1127,516,1643,720
42003151700,1517,4931,2150,939,3089,1842
42003160800,1608,2558,822,518,1340,1218
42003160900,1609,2771,549,221,770,2001
42003170200,1702,3717,1005,516,1521,2196
42003170600,1706,1841,554,361,915,926
42003180300,1803,2469,651,393,1044,1425
42003180700,1807,2001,796,320,1116,885
42003190300,1903,1945,742,421,1163,782
42003191100,1911,2425,1013,490,1503,922
42003191400,1914,2794,657,395,1052,1742
42003191500,1915,2047,645,377,1022,1025
42003191600,1916,4290,1791,759,2550,1740
42003191700,1917,3445,1873,774,2647,798
42003191800,1918,5321,2953,1111,4064,1257
42003191900,1919,2154,1040,400,1440,714
42003192000,1920,3591,1609,617,2226,1365
42003202200,2022,2568,1137,523,1660,908
42003202300,2023,3981,1569,800,2369,1612
42003210700,2107,2126,711,270,981,1145
42003220600,2206,1712,466,159,625,1087
42003240600,2406,2711,820,457,1277,1434
42003241200,2412,884,327,248,575,309
42003250300,2503,1088,354,156,510,578
42003250700,2507,725,153,77,230,495
42003250900,2509,1285,401,219,620,665
42003260200,2602,2249,1036,419,1455,794
42003260700,2607,1744,889,226,1115,629
42003260900,2609,1214,19,22,41,1173
42003261200,2612,1051,553,279,832,219
42003261400,2614,2381,793,339,1132,1249
42003261500,2615,1649,515,253,768,881
42003262000,2620,2566,936,578,1514,1052
42003270100,2701,2618,1428,401,1829,789
42003270300,2703,1912,832,290,1122,790
42003270400,2704,1079,505,206,711,368
42003270800,2708,2589,1385,556,1941,648
42003271500,2715,3135,1208,605,1813,1322
42003281400,2814,2352,900,367,1267,1085
42003281500,2815,1462,759,306,1065,397
42003290100,2901,2104,895,445,1340,764
42003290200,2902,3942,1818,751,2569,1373
42003290400,2904,4019,1860,832,2692,1327
42003300100,3001,3747,1202,656,1858,1889
42003310200,3102,3227,1933,807,2740,487
42003310300,3103,990,605,310,915,75
42003320400,3204,1904,1025,493,1518,386
42003320600,3206,2261,1319,489,1808,453
42003320700,3207,1650,961,423,1384,266
42003401100,4011,4431,2198,1239,3437,994
42003401200,4012,3272,1007,649,1656,1616
42003401300,4013,2694,1628,709,2337,357
42003402000,4020,3167,1430,669,2099,1068
42003403500,4035,4467,1728,785,2513,1954
42003404000,4040,1500,667,316,983,517
42003405000,4050,1157,603,404,1007,150
42003406000,4060,2376,1331,687,2018,358
42003407001,4070.01,5162,3096,1364,4460,702
42003407002,4070.02,6474,4238,1601,5839,635
42003408001,4080.01,4656,2916,918,3834,822
42003408002,4080.02,6296,4815,1086,5901,395
42003409000,4090,11494,8524,1653,10177,1317
42003410000,4100,1171,843,291,1134,37
42003411000,4110,6915,5074,1359,6433,482
42003412001,4120.01,8605,6685,1467,8152,453
42003412002,4120.02,4865,3650,1037,4687,178
42003413100,4131,6418,4037,1164,5201,1217
42003413201,4132.01,3737,2290,805,3095,642
42003413202,4132.02,2866,1883,698,2581,285
42003413300,4133,4578,3138,1123,4261,317
42003413400,4134,4297,2967,1143,4110,187
42003413500,4135,5561,2543,961,3504,2057
42003414101,4141.01,5350,3888,1184,5072,278
42003414102,4141.02,7036,4220,1526,5746,1290
42003414200,4142,5957,4076,1351,5427,530
42003415001,4150.01,4577,2963,998,3961,616
42003415002,4150.02,2443,1588,572,2160,283
42003416000,4160,1636,819,549,1368,268
42003417100,4171,2145,1208,495,1703,442
42003417200,4172,1260,527,185,712,548
42003418000,4180,1742,928,584,1512,230
42003419000,4190,2687,1111,896,2007,680
42003420000,4200,1432,492,217,709,723
42003421100,4211,4098,2498,1127,3625,473
42003421200,4212,4304,2784,1172,3956,348
42003422000,4220,5388,3375,1560,4935,453
42003423000,4230,2801,1211,470,1681,1120
42003424000,4240,3436,1041,494,1535,1901
42003425000,4250,3447,1590,535,2125,1322
42003426300,4263,6030,4035,1740,5775,255
42003426400,4264,4571,2738,1049,3787,784
42003426700,4267,2357,1168,583,1751,606
42003426800,4268,5369,3715,1534,5249,120
42003427000,4270,3724,1260,539,1799,1925
42003427100,4271,5504,3783,1474,5257,247
42003427200,4272,4809,2457,1215,3672,1137
42003428100,4281,1242,648,425,1073,169
42003428200,4282,2091,1243,630,1873,218
42003429100,4291,2411,1229,480,1709,702
42003429201,4292.01,4091,2437,989,3426,665
42003429202,4292.02,4365,2688,1258,3946,419
42003429300,4293,5417,3357,1353,4710,707
42003429400,4294,4259,2664,1074,3738,521
42003429500,4295,4209,1730,882,2612,1597
42003429600,4296,3300,1766,513,2279,1021
42003429700,4297,2367,1408,594,2002,365
42003430100,4301,2104,1216,308,1524,580
42003430200,4302,4659,2664,801,3465,1194
42003431100,4311,3349,1083,322,1405,1944
42003431400,4314,1895,897,257,1154,741
42003431500,4315,3054,947,330,1277,1777
42003432300,4323,2056,810,300,1110,946
42003432400,4324,2570,995,460,1455,1115
42003434000,4340,1778,1136,251,1387,391
42003435000,4350,2377,1215,437,1652,725
42003437000,4370,4653,3161,740,3901,752
42003439000,4390,1388,953,350,1303,85
42003445500,4455,3822,1916,722,2638,1184
42003446000,4460,1680,1117,422,1539,141
42003447000,4470,1634,1063,367,1430,204
42003448000,4480,1218,563,240,803,415
42003449000,4490,2636,1651,581,2232,404
42003450700,4507,3084,1451,525,1976,1108
42003450800,4508,2539,914,451,1365,1174
42003451101,4511.01,3591,2425,835,3260,331
42003451102,4511.02,4437,2110,731,2841,1596
42003451104,4511.04,3573,2898,475,3373,200
42003451105,4511.05,4178,1444,539,1983,2195
42003451300,4513,7084,4796,1450,6246,838
42003452000,4520,5052,3082,1115,4197,855
42003453003,4530.03,1893,1175,502,1677,216
42003453004,4530.04,6952,3964,1012,4976,1976
42003455000,4550,1459,830,389,1219,240
42003456001,4560.01,3523,2472,696,3168,355
42003456003,4560.03,6094,4458,1107,5565,529
42003456004,4560.04,4535,2432,610,3042,1493
42003457100,4571,1399,509,275,784,615
42003457200,4572,3720,1968,799,2767,953
42003458000,4580,7061,4199,1803,6002,1059
42003459101,4591.01,1704,981,391,1372,332
42003459102,4591.02,5449,3559,1143,4702,747
42003459201,4592.01,5887,2757,1431,4188,1699
42003459202,4592.02,661,441,79,520,141
42003460001,4600.01,4244,2537,1254,3791,453
42003460002,4600.02,3410,2178,805,2983,427
42003461000,4610,1084,414,194,608,476
42003462100,4621,2623,907,657,1564,1059
42003462600,4626,3724,1405,573,1978,1746
42003463900,4639,2648,921,433,1354,1294
42003464300,4643,3330,1704,690,2394,936
42003464400,4644,3323,695,428,1123,2200
42003465600,4656,2361,956,344,1300,1061
42003465800,4658,3573,1777,559,2336,1237
42003468700,4687,1758,900,382,1282,476
42003468800,4688,2564,1141,323,1464,1100
42003468900,4689,3634,1315,566,1881,1753
42003469000,4690,4429,2665,1326,3991,438
42003470300,4703,3647,1940,939,2879,768
42003470400,4704,3063,1984,754,2738,325
42003470501,4705.01,3941,876,475,1351,2590
42003470502,4705.02,2801,1700,775,2475,326
42003470600,4706,3087,1286,622,1908,1179
42003471000,4710,1244,618,287,905,339
42003472100,4721,2521,1260,327,1587,934
42003472200,4722,2216,991,309,1300,916
42003472300,4723,2008,779,246,1025,983
42003472400,4724,1828,1190,330,1520,308
42003473100,4731,4730,2541,822,3363,1367
42003473200,4732,3181,1365,546,1911,1270
42003473300,4733,5336,3547,907,4454,882
42003473401,4734.01,3713,2008,661,2669,1044
42003473402,4734.02,3660,2266,761,3027,633
42003473500,4735,3581,2695,685,3380,201
42003473601,4736.01,3909,2384,870,3254,655
42003473602,4736.02,4564,2710,1190,3900,664
42003474101,4741.01,3601,2600,807,3407,194
42003474102,4741.02,3682,2639,754,3393,289
42003474201,4742.01,2600,1892,620,2512,88
42003474202,4742.02,4754,3272,1106,4378,376
42003474203,4742.03,4529,3440,929,4369,160
42003475101,4751.01,4564,2124,970,3094,1470
42003475102,4751.02,1665,1096,484,1580,85
42003475200,4752,4912,3383,1269,4652,260
42003475301,4753.01,4423,2184,1058,3242,1181
42003475303,4753.03,4064,2854,1091,3945,119
42003475304,4753.04,5634,3779,1014,4793,841
42003475401,4754.01,3774,2382,993,3375,399
42003475402,4754.02,3060,2032,729,2761,299
42003476100,4761,5031,1887,753,2640,2391
42003476200,4762,3279,2070,813,2883,396
42003477100,4771,3599,2313,994,3307,292
42003477200,4772,4001,2365,1018,3383,618
42003477300,4773,5972,2754,1113,3867,2105
42003478100,4781,4010,1858,696,2554,1456
42003478200,4782,5628,3110,1071,4181,1447
42003479000,4790,1992,1386,508,1894,98
42003480101,4801.01,4837,1868,763,2631,2206
42003480102,4801.02,3099,1846,895,2741,358
42003480200,4802,3426,2075,909,2984,442
42003480300,4803,3415,2126,942,3068,347
42003480400,4804,4976,2767,1532,4299,677
42003481000,4810,3403,1046,570,1616,1787
