Rank,District,District URL,DistrictName,City,City URL,Zip,County,Low Grade,High Grade,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,Rank Score (2018),Rank Score (2017),Rank (2017),Rank Change from 2017,SchoolDigger Star Rating (2018)
52,A W Beattie Career Center,https://www.schooldigger.com/go/PA/district/80010/search.aspx,A W Beattie,Allison Park,https://www.schooldigger.com/go/PA/city/Allison+Park/search.aspx,15101,Allegheny,9,12,0,0,0,1,0.0713224,(n/a),(n/a),(n/a),0
55,Academy Charter School,https://www.schooldigger.com/go/PA/district/00133/search.aspx,Academy,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15227,Allegheny,8,12,106,0,0,1,0,0,593,-10,0
26,Allegheny Valley School District,https://www.schooldigger.com/go/PA/district/02190/search.aspx,Allegheny Valley,Cheswick,https://www.schooldigger.com/go/PA/city/Cheswick/search.aspx,15024,Allegheny,KG,12,943,1,1,1,0.5926182,0.4902073,334,82,3
15,Avonworth School District,https://www.schooldigger.com/go/PA/district/02820/search.aspx,Avonworth,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15237,Allegheny,KG,12,1676,1,1,1,0.8349353,0.8425691,62,-9,4
18,Baldwin-Whitehall School District,https://www.schooldigger.com/go/PA/district/02970/search.aspx,Baldwin-Whitehall,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15236,Allegheny,KG,12,4233,2,1,1,0.7634819,0.6541849,192,78,4
11,Bethel Park School District,https://www.schooldigger.com/go/PA/district/03510/search.aspx,Bethel Park,Bethel Park,https://www.schooldigger.com/go/PA/city/Bethel+Park/search.aspx,15102,Allegheny,KG,12,4239,5,1,1,0.8759295,0.8270918,71,22,5
28,Brentwood Borough School District,https://www.schooldigger.com/go/PA/district/04140/search.aspx,Brentwood Borough,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15227,Allegheny,KG,12,1214,2,1,1,0.5353302,0.5682761,264,-39,3
25,Carlynton School District,https://www.schooldigger.com/go/PA/district/05040/search.aspx,Carlynton,Carnegie,https://www.schooldigger.com/go/PA/city/Carnegie/search.aspx,15106,Allegheny,KG,12,1375,2,1,1,0.593725,0.4925173,332,81,3
22,Chartiers Valley School District,https://www.schooldigger.com/go/PA/district/05700/search.aspx,Chartiers Valley,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15220,Allegheny,KG,12,3288,1,1,1,0.696477,0.7384807,128,-23,4
38,City Charter High School,https://www.schooldigger.com/go/PA/district/00094/search.aspx,City Charter,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15222,Allegheny,9,12,633,0,0,1,0.2570579,0.3815987,417,-67,1
35,Pittsburgh School District,https://www.schooldigger.com/go/PA/district/19170/search.aspx,City of Pittsburgh,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15213,Allegheny,PK,12,22082,34,22,10,0.2943767,0.2808263,477,6,1
50,Clairton City School District,https://www.schooldigger.com/go/PA/district/06030/search.aspx,Clairton City,Clairton,https://www.schooldigger.com/go/PA/city/Clairton/search.aspx,15025,Allegheny,KG,12,808,1,1,1,0.1175022,0.1191542,555,-2,0
39,Cornell School District,https://www.schooldigger.com/go/PA/district/06810/search.aspx,Cornell,Coraopolis,https://www.schooldigger.com/go/PA/city/Coraopolis/search.aspx,15108,Allegheny,KG,12,630,1,1,1,0.2264887,0.2707585,480,-20,1
27,Deer Lakes School District,https://www.schooldigger.com/go/PA/district/07540/search.aspx,Deer Lakes,Cheswick,https://www.schooldigger.com/go/PA/city/Cheswick/search.aspx,15024,Allegheny,KG,12,1935,1,1,1,0.5772166,0.5295089,297,28,3
53,Duquesne City School District,https://www.schooldigger.com/go/PA/district/08010/search.aspx,Duquesne City,Duquesne,https://www.schooldigger.com/go/PA/city/Duquesne/search.aspx,15110,Allegheny,PK,6,325,1,0,0,0.0346405,0.0336134,586,-3,0
24,Elizabeth Forward School District,https://www.schooldigger.com/go/PA/district/09090/search.aspx,Elizabeth Foreward,Elizabeth,https://www.schooldigger.com/go/PA/city/Elizabeth/search.aspx,15037,Allegheny,KG,12,2319,3,1,1,0.6670514,0.652223,193,15,4
21,Environmental Charter School At Frick Park,https://www.schooldigger.com/go/PA/district/00812/search.aspx,Environmental Charter School At,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15218,Allegheny,KG,8,630,1,1,0,0.7168465,0.7567064,115,-27,4
51,Forbes Road Ctc,https://www.schooldigger.com/go/PA/district/80020/search.aspx,Forbes,Monroeville,https://www.schooldigger.com/go/PA/city/Monroeville/search.aspx,15146,Allegheny,9,12,0,0,0,1,0.0995542,(n/a),(n/a),(n/a),0
3,Fox Chapel Area School District,https://www.schooldigger.com/go/PA/district/10070/search.aspx,Fox Chapel Area,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15238,Allegheny,KG,12,4088,4,1,1,0.9742166,0.9580367,12,6,5
23,Gateway School District,https://www.schooldigger.com/go/PA/district/10620/search.aspx,Gateway,Monroeville,https://www.schooldigger.com/go/PA/city/Monroeville/search.aspx,15146,Allegheny,KG,12,3332,4,1,1,0.6716393,0.6573449,190,18,4
6,Hampton Township School District,https://www.schooldigger.com/go/PA/district/11400/search.aspx,Hampton Township,Allison Park,https://www.schooldigger.com/go/PA/city/Allison+Park/search.aspx,15101,Allegheny,KG,12,2891,3,1,1,0.9474235,0.9510394,14,-1,5
36,Highlands School District,https://www.schooldigger.com/go/PA/district/11880/search.aspx,Highlands,Natrona Heights,https://www.schooldigger.com/go/PA/city/Natrona+Heights/search.aspx,15065,Allegheny,PK,12,2569,1,1,1,0.2943239,0.2807998,478,6,1
54,Hill House Passport Academy Charter School,https://www.schooldigger.com/go/PA/district/00882/search.aspx,Hill House Passport Academy,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15219,Allegheny,9,12,149,0,0,1,0.0029717,0.0090497,592,-10,0
20,Keystone Oaks School District,https://www.schooldigger.com/go/PA/district/12750/search.aspx,Keystone Oaks,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15216,Allegheny,KG,12,1899,3,1,1,0.7183138,0.7165544,145,7,4
49,Manchester Academic Charter School,https://www.schooldigger.com/go/PA/district/00017/search.aspx,Manchester Academic,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15233,Allegheny,KG,8,342,1,1,0,0.135556,0.1630621,535,-14,0
9,Montour School District,https://www.schooldigger.com/go/PA/district/15720/search.aspx,Montour,Mc Kees Rocks,https://www.schooldigger.com/go/PA/city/Mc+Kees+Rocks/search.aspx,15136,Allegheny,KG,12,2868,0,1,1,0.9000859,0.8375221,66,28,5
12,Moon Area School District,https://www.schooldigger.com/go/PA/district/15830/search.aspx,Moon Area,Moon Township,https://www.schooldigger.com/go/PA/city/Moon+Township/search.aspx,15108,Allegheny,KG,12,3744,4,1,1,0.8701983,0.913294,36,-14,5
2,Mt Lebanon School District,https://www.schooldigger.com/go/PA/district/16110/search.aspx,Mt. Lebanon,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15228,Allegheny,KG,12,5439,7,2,1,0.9755813,0.9755529,4,0,5
7,North Allegheny School District,https://www.schooldigger.com/go/PA/district/17010/search.aspx,North Allegheny,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15237,Allegheny,KG,12,8284,7,3,1,0.9436752,0.9424737,17,-1,5
10,North Hills School District,https://www.schooldigger.com/go/PA/district/17220/search.aspx,North Hills,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15229,Allegheny,KG,12,4382,4,1,1,0.8821642,0.8847811,46,-1,5
30,Northgate School District,https://www.schooldigger.com/go/PA/district/17770/search.aspx,Northgate,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15202,Allegheny,PK,12,1148,2,1,1,0.3994973,0.3570065,439,32,2
44,Penn Hills School District,https://www.schooldigger.com/go/PA/district/18590/search.aspx,Penn Hills,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15235,Allegheny,PK,12,3585,1,1,1,0.1692713,0.1938315,522,-7,1
41,Penn Hills Charter School Of Entrepreneurship,https://www.schooldigger.com/go/PA/district/00853/search.aspx,Penn Hills Charter School,Pittsburgh,https://www.schooldigger.com/go/PA/city/Pittsburgh/search.aspx,15235,Allegheny,KG,8,351,1,1,0,0.2083805,0.3004004,471,-37,1
